image_name	flow_value	excess	recoverd_flow	num_aug_path	avg_path_len	num_proj_path	avg_proj_len	num_warm_start_path	avg_warm_start_len
birdhouse_010_cropped	33102	3714	33102	611	6.1669	544	5.3162	0	0
birdhouse_009_cropped	33007	2884	33007	585	6.1111	499	6.7976	0	0
birdhouse_003_cropped	33855	3169	33007	602	5.9983	461	5.872	68	8.8676
birdhouse_006_cropped	34208	2346	33855	619	6.1535	444	5.2793	48	10.1875
birdhouse_001_cropped	33722	2999	33722	599	5.9282	476	5.8025	0	0
birdhouse_008_cropped	32719	3827	32719	591	6.1015	521	5.9175	0	0
birdhouse_004_cropped	34154	2735	32719	612	6.0915	426	5.1972	102	8.402
birdhouse_007_cropped	33957	3167	33957	624	6.2436	511	6.5636	0	0
birdhouse_002_cropped	33763	3241	33763	598	6.005	514	6.3424	0	0
