image_name	flow_value	excess	recoverd_flow	num_aug_path	avg_path_len	num_proj_path	avg_proj_len	num_warm_start_path	avg_warm_start_len
birdhouse_010_cropped	4688	1536	4161	234	10.3162	200	7.355	53	14.0566
birdhouse_009_cropped	4859	1294	4688	241	10.3485	217	7.7696	30	13.8333
birdhouse_003_cropped	4832	1922	4832	249	10.6185	273	9.9597	0	0
birdhouse_006_cropped	4321	1819	4321	226	10.1416	252	6.5397	0	0
birdhouse_001_cropped	4860	1222	4321	247	10.7247	197	7.0914	63	14.1587
birdhouse_008_cropped	4412	2121	4412	219	9.9863	251	6.4781	0	0
birdhouse_004_cropped	4678	1628	4412	227	10.1806	231	7.5411	29	14.8621
birdhouse_007_cropped	4659	1546	4659	233	10.4421	252	8.4246	0	0
birdhouse_002_cropped	4908	1478	4659	239	10.6987	220	7.8636	37	16.1081
